class,precision,recall,f1-score,support
cherry,0.9865319865319865,0.9766666666666667,0.981574539363484,300.0
tomato,0.9635258358662614,0.9875389408099688,0.9753846153846154,321.0
strawberry,0.9885057471264368,0.9745042492917847,0.9814550641940085,353.0
