class,precision,recall,f1-score,support
cherry,0.6225352112676056,0.7366666666666667,0.6748091603053435,300.0
tomato,0.7125,0.5327102803738317,0.6096256684491979,321.0
strawberry,0.7044854881266491,0.7563739376770539,0.7295081967213115,353.0
