class,precision,recall,f1-score,support
cherry,0.9432624113475178,0.8866666666666667,0.9140893470790378,300.0
tomato,0.916083916083916,0.8161993769470405,0.8632619439868204,321.0
strawberry,0.8275862068965517,0.9518413597733711,0.8853754940711462,353.0
